  1 /*************************************************************************************************************************
  2 CoreNet Database Copyright 2010 by SWRC, KAIST
  3 Description : 한국어 단어, koWord.dat
  4 CoreNet database is providing in the following tab delimited text format.
  5 idx kortermnum vocnum semnum nttnum pos chinese japanese korean
  6  idx : 각 데이터의 고유 순번
  7  kortermnum : KORTERM 개념번호
  8  vocnum : 동음 형용사에 대한 표제어 구분 순번
  9  semnum : 의미 구분 번호
  10  nttnum : NTT 사전에 등록된 개념일련번호 (출판물)
  11  pos : 형태소 태그
  12  chinese : 중국어
  13  japanese : 일본어
  14  korean : 한국어
  15 *************************************************************************************************************************/
112	111115433	0	0	172	mncn			근로대중
113	122117532	0	0	1418	mncn			야수선택
114	12212544	0	0	1756	mncn			대교경기
115	12212544	0	0	1756	mncn			대교시합
116	1221282691	0	0	2020	mncn			내야안타
117	1235114	0	0	2513	mncn			도약경기
118	123723	0	0	2590	mncn			승리타점
119	1239134	0	0	2687	mncn			야간경기
120	12222821	0	0	2244	mncn			내부분열
121	12325	0	0	2441	mncn			귀족계급
122	122126315	0	0	1849	mncn			군경위문
123	123432	0	0	2498	mncn			가격기구
124	1211411	0	0	1111	mncn			인민협약
125	111131A11	0	1	305	mncn			달머슴
126	111131A11	0	2	305	mncn			달머슴
127	111131A11	0	0	305	mncn			안팎머슴
128	112132	0	0	447	mncn			행랑집
129	1221252331	0	0	1735	mncn			국가승인
130	12212911	0	0	2031	mncn			경영참가
131	122225921	0	0	2177	mncn			수소이탈
132	12212821	0	0	1937	mncn			사회환원사업
133	12212543	0	0	1755	mncn			봇물전쟁
134	1222281A2	0	0	2242	mncn			해상충돌
135	1239134	0	0	2687	mncn			야간전투
136	11113162	0	0	283	mncn			자개일꾼
137	1221282693	0	0	2022	mncn			차단사격
138	1221282693	0	0	2022	mncn			함포사격
139	122311112	0	0	2310	mncn			집중포화
140	12222341	0	0	2094	mncn			시민혁명
141	1222237	0	0	2102	mncn			끝단속
142	122126332	0	0	1858	mncn			자수감등
143	122126332	0	0	1858	mncn			행정형벌
144	122128264	0	0	2006	mncn			구류처분
145	122128264	0	0	2006	mncn			소멸처분
146	1221291312	0	0	2048	mncn			낙태죄
147	122126214	0	0	1810	mncn			참관수업
148	122126214	0	0	1810	mncn			과외수업
149	1221191412	0	0	1509	mncn			수단설법
150	123852	0	0	2626	mncn			야외수업
151	12113142	0	0	1076	mncn			억약부강
152	12113142	0	0	1076	mncn			억강부약
153	122117A2	0	0	1451	mncn			구사불첨
154	1111336	2	0	351	mncn			손대
155	122222	0	0	2086	mncn			수정제어
156	123782	0	0	2609	mncn			거주제한
157	123782	0	0	2609	mncn			건축제한
158	12222A112	0	0	2266	mncn			자수감면
159	122128264	0	0	2006	mncn			제명처분
160	122128264	0	1	2006	mncn			강제처분
161	1221291223	0	0	2039	mncn			항공기불법탈취
162	122127C21	0	0	1913	mncn			강제저축
163	122127C21	0	0	1913	mncn			개인저축
164	122127C21	0	0	1913	mncn			강제저금
165	122127932	0	0	1897	mncn			금번출자
166	12222344	0	0	2097	mncn			부부교환
167	12222344	0	0	2097	mncn			비준교환
168	122127B13	0	0	1906	mncn			사인증여
169	12212741	0	0	1878	mncn			계열융자
170	11113114	0	0	240	mncn			노반박사
171	1239134	0	0	2687	mncn			야간근무
172	1211632	0	0	1150	mncn			인기직업
173	123211	0	0	2434	mncn			자동차운송사업
174	123211	0	0	2434	mncn			자동차운수사업
175	123211	0	0	2434	mncn			자동차정류장사업
176	1239134	0	0	2687	mncn			야간작업
177	12222819	0	0	2239	mncn			금알갱이붙임
178	1132273A2	0	0	939	mncn			전광장식
179	1111329	0	0	331	mncn			삼관왕
180	12212824277	0	0	1956	mncn			횟물먹임
181	12222819	0	0	2239	mncn			흙도배
182	123382	0	0	2475	mncn			부대사업
183	12222344	0	0	2097	mncn			자리갈이
184	12222822	0	0	2245	mncn			자동살포
185	122128243912	0	0	1989	mncn			책판
186	123432	0	0	2498	mncn			건축구조
187	123432	0	0	2498	mncn			벽구조
188	121113E	0	0	1035	mncn			수료법
