  1 /*************************************************************************************************************************
  2 CoreNet Database Copyright 2010 by SWRC, KAIST
  3 Description : 한국어 형용사 격틀, koAdjFrame.dat
  4 CoreNet database is providing in the following tab delimited text format.
  5 idx vocnum semnum nttnum pos chinese japanese korean sentpattern n1con n1conn n1hyper n1noun n1josa n2con n2conn n2hyper n2noun n2josa n3con n3conn n3hyper n3noun n3josa n4con n4conn n4hyper n4noun n4josa
  6  idx : 각 데이터의 고유 순번
  7  vocnum : 동음 형용사에 대한 표제어 구분 순번
  8  semnum : 의미 구분 번호
  9  nttnum : NTT 사전에 등록된 개념일련번호 (출판물)
  10  pos : 형태소 태그
  11  chinese : 중국어
  12  japanese : 일본어
  13  korean : 한국어
  14  sentpattern : 문장 패턴
  15  n1con : 첫번째 인자가 속하는 개념번호
  16  n1conn : 첫번째 인자가 속하는 KORTERM 개념번호 
  17  n1hyper : 첫번째 인자의 개념명
  18  n1noun : 첫번째 인자에 위치할 수 있는 명사
  19  n1josa : 첫번째 인자에 대한 조사
  20  n2con : 두번째 인자가 속하는 개념번호
  21  n2conn : 두번째 인자가 속하는 KORTERM 개념번호 
  22  n2hyper : 두번째 인자의 개념명
  23  n2noun : 두번째 인자에 위치할 수 있는 명사
  24  n2josa : 두번째 인자에 대한 조사
  25  n3con : 세번째 인자가 속하는 개념번호
  26  n3conn : 세번째 인자가 속하는 KORTERM 개념번호 
  27  n3hyper : 세번째 인자의 개념명
  28  n3noun : 세번째 인자에 위치할 수 있는 명사
  29  n3josa : 세번째 인자에 대한 조사
  30  n4con : 네번째 인자가 속하는 개념번호
  31  n4conn : 네번째 인자가 속하는 KORTERM 개념번호 
  32  n4hyper : 네번째 인자의 개념명
  33  n4noun : 네번째 인자에 위치할 수 있는 명사
  34  n4josa : 네번째 인자에 대한 조사
  35 *************************************************************************************************************************/
171	0	1	3190	pa			가늘다	이/가	678	11312122	화초/들풀	조릿대	이/가															
172	0	1	3190	pa			가늘다	이/가	599	11311232	발/다리	종아리	이/가															
173	0	1	3190	pa			가늘다	이/가	770	1132221	종이	종이	이/가															
174	0	1	3190	pa			가늘다	이/가	692	11312231	줄기	줄기	이/가															
175	0	1	3190	pa			가늘다	이/가	955	113227433	봉	지팡이	이/가															
176	0	1	3190	pa			가늘다	이/가				체형	이/가															
177	0	1	3190	pa			가늘다	이/가	592	113112311	팔	팔	이/가															
178	0	1	3190	pa			가늘다	이/가				펜대	이/가															
179	0	1	3190	pa			가늘다	이/가	1097	12113246	필체	필체	이/가															
180	0	1	3190	pa			가늘다	이/가	580	11311223	허리	허리	이/가															
181	0	2	3151	pa			가늘다	이/가	2500	123441	힘(주체)	맥	이/가															
182	0	2	3151	pa			가늘다	이/가	1349	1221146	목소리	목소리	이/가															
183	0	2	3151	pa			가늘다	이/가				비명소리	이/가															
184	0	2	3151	pa			가늘다	이/가	2354	12231125	소리	소리	이/가															
185	0	2	3151	pa			가늘다	이/가				음색	이/가															
186	0	5	3197	pa			가늘다	이/가	730	1132121352	모래	모래	이/가															
187	0	6	3190	pa			가늘다	이/가	636	113112523	수염	수염	이/가															
188	0	1	2464,3144	pa			가당찮다	이/가				~ㄴ 것	이/가															
189	0	1	2464,3144	pa			가당찮다	이/가				~ㄴ 꼴	이/가															
190	0	1	2464,3144	pa			가당찮다	이/가				~ㄴ 어조	이/가															
191	0	1	2464,3144	pa			가당찮다	이/가				~ㄴ 일	이/가															
192	0	1	2464,3144	pa			가당찮다	이/가				~ㄴ 짓	이/가															
193	0	1	2464,3144	pa			가당찮다	이/가	1149	1211631	소문	루머	이/가															
194	0	1	2464,3144	pa			가당찮다	이/가	1073	12113133	말	말	이/가															
195	0	1	2464,3144	pa			가당찮다	이/가	1503	122119121	발언	말대꾸	이/가															
196	0	1	2464,3144	pa			가당찮다	이/가	1077	12113143	해학	말장난	이/가															
197	0	1	2464,3144	pa			가당찮다	이/가				말전주	이/가															
198	0	1	2464,3144	pa			가당찮다	이/가				변해	이/가															
199	0	1	2464,3144	pa			가당찮다	이/가				색념	이/가															
200	0	1	2464,3144	pa			가당찮다	이/가	1147 1546		정보,소식	소식	이/가															
201	0	1	2464,3144	pa			가당찮다	이/가	1362	12211541	바람<바람/실망>	소원	이/가															
202	0	1	2464,3144	pa			가당찮다	이/가				욕지거리	이/가															
203	0	1	2464,3144	pa			가당찮다	이/가				응석	이/가															
204	0	1	2464,3144	pa			가당찮다	이/가				입체	이/가															
205	0	1	2464,3144	pa			가당찮다	이/가				작태	이/가															
206	0	1	2464,3144	pa			가당찮다	이/가	1238 1313		마음,질투	질투심	이/가															
207	0	1	2464,3144	pa			가당찮다	이/가	2539	1235221	신상	처지	이/가															
208	0	1	2464,3144	pa			가당찮다	이/가	1811	122126215	훈계	충고	이/가															
209	0	2		pa			가당찮다	이/가	1762	122125461	공격	기습	이/가															
210	2	1	2271,3161	pa			가득하다	N1로	299 329		군인,사병	병사	N1로															
211	2	1	2271,3161	pa			가득하다	N1로	257	111131174	행자	수행자	N1로															
212	2	1	2271,3161	pa			가득하다	N1로	253	11113117	종교가	종교인	N1로															
213	2	1	2271,3161	pa			가득하다	N1로 N2이				~ㄴ 일	N1로				머릿속	N2이										
214	2	1	2271,3161	pa			가득하다	N1에 N2로	435	1121225	음식점	식당	N1에	5	11111	인간	사람	N2로										
215	2	1	2271,3161	pa			가득하다	N1에 N2로				장호암	N1에	245	11113115	언론인	기자	N2로										
216	2	1	2271,3161	pa			가득하다	N1에 N2이	1048	1211221	회화	화폭	N1에	22	11111131	삼인칭 단수	그것	N2이										
217	2	1	2271,3161	pa			가득하다	이/가	2546	1235241	빈	가난	이/가															
218	2	1	2271,3161	pa			가득하다	이/가	2546	1235241	빈	궁핍	이/가															
219	2	1	2271,3161	pa			가득하다	이/가	2355	12231126	냄새	냄새	이/가															
220	2	1	2271,3161	pa			가득하다	이/가				주름살	이/가															
221	2	1	2271,3161	pa			가득하다	이/가	920	113227222	출판물	책자	이/가															
222	2	3	2427,3161	pa			가득하다	N1에 N2이	2623	1238511	내부	방안	N1에	2355	12231126	냄새	냄새	N2이										
223	2	4	2608,3161	pa			가득하다	N1로	1240	1221121	느낌<감각>	불쾌감	N1로															
224	2	4	2608,3161	pa			가득하다	N1에 N2이	561	1131121221	눈(본체)	눈	N1에	1304 1316		증오,한	원망	N2이										
225	2	4	2608,3161	pa			가득하다	N1에 N2이	1344 2527		얼굴표정,기색	눈빛	N1에	1266	12211316	공포	두려움	N2이										
