23	0	3	122119231	15	pv-i	전해지다			行く	가다	1551	122119232	통지	통고	通告	이/가							447	112132	기타 거주시설	집	家	에/에게/로						
24	0	3	122119231	15	pv-i	전해지다			行く	가다	1551	122119232	통지	통고	通告	이/가							5	11111	인간			에/에게/로						
25	0	3	122119231	15	pv-i	전해지다			行く	가다	926	11322731	표지	신호	信号	이/가							447	112132	기타 거주시설	집	家	에/에게/로						
26	0	3	122119231	15	pv-i	전해지다			行く	가다	926	11322731	표지	신호	信号	이/가							5	11111	인간			에/에게/로						
27	0	3	122119231	15	pv-i	전해지다			伝わる	가다	1544	12211922	통신/소식/etc	기별	知らせ	이/가							617	113112412	소화기	간	肝臓	에						
28	0	4	12222A16	16	pv-i	이르다/도달하다			達する	가다	582	11311225	등<몸통>	키	身長	이/가							2660	1238B3	사이	중간	中間	에/에게/로						
29	0	4	12222A16	16	pv-i	이르다/도달하다			達する	가다	582	11311225	등<몸통>	키	身長	이/가							2663	1238C2	근	근처	近所	에/에게/로						
30	0	4	12222A16	16	pv-i	이르다/도달하다			達する	가다	582	11311225	등<몸통>	키	身長	이/가							580	11311223	허리	허리	腰	에/에게/로						
31	0	5	12222411	18	pv-i	움직이다			動く	가다	984	11322842	시계	시계	時計	이/가							2331	122311122	열<물리현상>	태양열	太陽熱	로/으로						
32	0	5	12222411	18	pv-i	움직이다			動く	가다	984	11322842	시계	시계	時計	이/가							2335	122311124	전기	전기	電気	로/으로						
33	0	5	12222411	18	pv-i	움직이다			動く	가다	984	11322842	시계	시계	時計	이/가							973	11322825	전기부품	약	薬	로/으로						
34	0	5	12222411	18	pv-i	움직이다			動く	가다	988	11322911	탈것(본체(땅))	자동차	自動車	이/가							2331	122311122	열<물리현상>	태양열	太陽熱	로/으로						
35	0	5	12222411	18	pv-i	움직이다			動く	가다	988	11322911	탈것(본체(땅))	자동차	自動車	이/가							2335	122311124	전기	전기	電気	로/으로						
36	0	5	12222411	18	pv-i	움직이다			動く	가다	988	11322911	탈것(본체(땅))	자동차	自動車	이/가							795	113222812	액체연료	기름	油	로/으로						
37	0	8	1222238	2	pv-i	지나다			過ぎる	가다	2670	1239	시간	날	時	이/가																		
38	0	8	1222238	2	pv-i	지나다			過ぎる	가다	2672	123911	계절	계절	季節	이/가																		
39	0	10	2105,2430	22	pv-i	유지되다			持つ	가다	833	11322433	신발	구두	靴	이/가	2679	1239121	연	3년	3年	을/를												
40	0	10	2105,2430	22	pv-i	유지되다			続く・持つ	가다	2444	12331	관계	관계	関係	이/가	2679	1239121	연	3년	3年	을/를												
41	0	11	12211562	7	pv-i	어떤 방향으로 향하다			持てる	가다	1309	122113351	선의	호감	好感	이/가	49	11111212	여자	미인	美人	에게/에게로												
42	0	11	12211562	7	pv-i	어떤 방향으로 향하다			行く	가다	2567	12363	선<형상>	시선	視線	이/가	49	11111212	여자	미인	美人	에게/에게로												
