#GT	SS	Type	Remarks
#
# Corenet Mappings marked with synonym/hypernym/hyponym
# New additions marked with new.  
#
#2426	13740591-n	synonym
#
# IDs above 3000 only exist in corenet
#
2	00001740-v	synonym
2	05941210-n	new
4	00007846-n	synonym
4	05870055-n	new
4	10289039-n	new
5	00007846-n	synonym
5	02472293-n	new
5	02472987-n	new
5	10289039-n	new
5	10417682-n	new
6	06326797-n	synonym
7	06327718-n	synonym
8	06327718-n	hypernym
8	09604981-n	new
9	06327718-n	hypernym
10	06327718-n	hypernym
11	06327718-n	hypernym
12	06327718-n	hypernym
13	06327718-n	hypernym
14	06327870-n	synonym
15	06327870-n	hypernym
16	06327870-n	hypernym
17	06327870-n	hypernym
18	06327870-n	hypernym
19	06327870-n	hypernym
20	06327870-n	hypernym
21	06328022-n	synonym
22	06328022-n	hypernym
23	06328022-n	hypernym
24	06328022-n	hypernym
25	06328022-n	hypernym
26	06328022-n	hypernym
27	06328022-n	hypernym
28	06326797-n	hypernym
29	06326797-n	hypernym
30	06326797-n	hypernym
31	06327870-n	hyponym
32	09604981-n	new
32	09605110-n	synonym
33	06327870-n	hyponym
33	06328022-n	hyponym
34	06326797-n	hypernym
34	10203839-n	new
35	06326797-n	hypernym
36	05612809-n	new
36	06326797-n	hypernym
37	00007846-n	new
37	06326797-n	hypernym
38	06308049-n	hypernym
39	06326797-n	hypernym
40	06308049-n	hypernym
41	06308049-n	hypernym
42	06308049-n	hypernym
43	07070883-n	synonym
44	07070883-n	hypernym
44	09906704-n	new
44	10271677-n	new
44	10601451-n	new
45	07070883-n	hypernym
47	00007846-n	new
47	10886929-n	new
47	10902591-n	new
47	11106290-n	new
47	11208688-n	new
48	09624168-n	synonym
48	10287213-n	new
48	10288516-n	synonym
48	10288763-n	synonym
48	10923313-n	new
48	11131135-n	new
49	09619168-n	synonym
49	10787470-n	synonym
51	09827683-n	synonym
52	09871229-n	hypernym
53	09992837-n	hypernym
53	10084295-n	hypernym
54	10624074-n	new
55	10285313-n	synonym
56	10084295-n	synonym
57	09908025-n	new
57	10804406-n	synonym
57	15152261-n	new
58	07944050-n	new
58	09622049-n	synonym
59	09989045-n	synonym
60	09605289-n	synonym
61	10287213-n	synonym
62	10787470-n	synonym
63	07943870-n	synonym
64	07943870-n	hypernym
65	07943870-n	hypernym
67	07946288-n	synonym
67	10158756-n	synonym
68	07950418-n	hyponym
68	09899671-n	hyponym
69	07950418-n	synonym
69	10595647-n	synonym
70	07950786-n	synonym
71	09994943-n	synonym
72	07969695-n	new
72	08101937-n	new
72	10236304-n	new
73	07970406-n	synonym
73	07970721-n	synonym
73	08078020-n	synonym
74	07989373-n	synonym
75	10193967-n	synonym
76	09874725-n	new
76	10323529-n	synonym
76	10780632-n	synonym
78	10399491-n	synonym
79	10080869-n	synonym
79	10081842-n	synonym
80	06904748-n	new
80	10332385-n	synonym
80	10333044-n	synonym
81	10143172-n	synonym
82	10142391-n	synonym
83	10142747-n	synonym
84	09792555-n	synonym
84	10102969-n	new
85	10006511-n	synonym
86	09918248-n	synonym
87	10285938-n	hypernym
87	10624074-n	synonym
