  1 /*************************************************************************************************************************
  2 CoreNet Database Copyright 2010 by SWRC, KAIST
  3 Description : 중국어 동사 격틀, chiVerbFrame.dat
  4 CoreNet database is providing in the following tab delimited text format.
  5 idx num chimeannum korwordnum korwordmeannum pos chinese chipronoun japanese korean n1 n1a3 n2cov n2 n2loc n2a3 aux n3cov n3 n3loc n3a3 n4 n4a3 pa
  6  idx : 각 데이터의 고유 순번
  7  num : 동음(同音)으로 묶은 그룹에 대한 순번
  8  chimeannum : 중국어 의미 순번 (북경대 문법 사전 참고)
  9  korwordnum : 한국어 표제어 번호
  10  korwordmeannum : 한국어 개념명 번호
  11  pos : 형태소 태그 (KAIST 품사체계)
  12  chinese : 중국어
  13  chipronoun : 중국어 발음
  14  japanese : 일본어
  15  korean : 한국어
  16  n1 : 첫번째 인자, 용례1(NTT번호)|용례2(NTT번호)|...  예) 身材(2563)|楼(865)
  17  n1a3 : 첫번째 인자에 대한 조사
  18  n2cov : 두번째 인자에 대한 CO-VERB
  19  n2 : 두번째 인자
  20  n2loc : 위치를 나타내는 두번째 인자의 후치사
  21  n2a3 : 두번째 인자에 대한 조사
  22  aux : 조동사 (단정)
  23  n3cov : 세번째 인자에 대한 CO-VERB
  24  n3 : 세번째 인자
  25  n3loc : 위치를 나타내는 세번째 인자의 후치사
  26  n3a3 : 세번째 인자에 대한 조사
  27  n4 : 네번째 인자
  28  n4a3 : 네번째 인자에 대한 조사
  29  pa : 마지막 조동사
  30 *************************************************************************************************************************/
40	56	5	1	1	타동사	打	dǎ		쏘다	他(23,48)	이							枪(961)|炮(961)		을			
41	56	6	0	7	타동사	打	dǎ	送る	보내다	他(23,48)	이							信号(1100,1101)		을			
42	56	7	4	9	타동사	打	dǎ		걸다	他(23,48)	이							官司(1518,1783)		을			
43	56	7	4	5	타동사	打	dǎ	かける	걸다	他(23,48)	이							电话(1147,1548)		을			
44	56	8	2	5	타동사	打	dǎ	殺す,捕まえる	잡다	他(23,48)	이							鸟(538)|老虎(537)|老鼠(537)|鱼(543)		을			
45	56	9	1	1	타동사	打	dǎ		쌓다	他(23,48)	이							坝(427,494)|地基(459)|田埂(518,494)		을			
46	56	10	0	1	타동사	打	dǎ	作る	만들다	他(23,48)	이							桌子(896)|立柜(899)		을			
47	56	11	0	2	타동사	打	dǎ		파다	他(23,48)	이							井(403,506)|眼(561)|炮眼(2574)		을			
48	56	12	0	1	타동사	打	dǎ		묶다	他(23,48)	이							包裹(1204)		을			
49	56	13	3	2	타동사	打	dǎ	差す	쓰다	他(23,48)	이							伞(836)		을			
50	56	14	2	2	타동사	打	dǎ	書く	쓰다	他(23,48)	이							草稿(1113,1119,920)|介绍信(1114,919)		을			
51	56	15	2	1	타동사	打	dǎ		그리다	他(23,48)	이							格子(884)		을			
52	56	16	2	2	타동사	打	dǎ	打つ	찍다	他(23,48)	이							手印(935)		을			
53	56	17	0	1	타동사	打	dǎ	作る	만들다	他(23,48)	이							柜子(906,907)		을			
54	56	18	1	4	타동사	打	dǎ	築く	닦다	他(23,48)	이							基础(2446,2450)		을			
55	56	19	9	1	타동사	打	dǎ	編む	뜨다	他(23,48)	이							毛衣(819,1582,818)		을			
56	56	20	5	3	타동사	打	dǎ	あげる	들다	他(23,48)	이							大旗(929)|灯笼(J903)		을			
57	56	21	1	3	타동사	打	dǎ	する,はがす	벗기다	他(23,48)	이							皮(552)		을			
58	56	22	0	0	타동사	打	dǎ		긷다	他(23,48)	이							水(748)		을			
59	56	23				打	dǎ		퍼올리다	他(23,48)	이							油(789,753,795)		을			
60	56	24	3	1	타동사	打	dǎ	雇う,買う	사다	他(23,48)	이							豆腐(845)		을			了
61	56	25	1	11	타동사	打	dǎ		받다	他(23,48)	이							酒(861)|酱油(846)		을			
62	56	26	0	0	타동사	打	dǎ		수확하다	他(23,48)	이							粮食(838,840)|麦子(677,840)		을			
63	56	27	0	0	타동사	打	dǎ		타작하다	他(23,48)	이							稻子(677,840)|谷子(677,840)		을			
64	56	28	1	1	타동사	打	dǎ		하다	他(23,48)	이							夜班(1936,1928)|短工(1560)|赌(1679)|埋伏(1427)|比喻(1079)|哈欠(2406)|手势(1579,1563)|牌(J921)|扑克(1679,921)|麻将(J921)		을			
65	56	29	1	1	타동사	打	dǎ		말하다	他(23,48)	이							官腔(1089)		으로			
66	56	30	2	2	타동사	打	dǎ		타다	他(23,48)	이							秋千(921)		을			
67	56	31	0	1	타동사	打	dǎ		뚫다	他(23,48)	이							洞(2574,481,421)		을			
68	57	1	1	0	타동사	打算	dǎsuan		계획하다	他(23,48)	이							承担|DJ		으려고			
69	58	1	1	1	타동사	带	dài	備える,持つ	지니다	他(23,48)	이							雨伞(836)|证件(761,1113,931)|钱(931)		을			
70	58	2	0	0	타동사	带	dài		돌보다	他(23,48)	이							孩子(51,54,86,87)		을			
71	58	3	3	5	타동사	带	dài		띠다				面(555)		에			微笑(1347)|愁容(2527)|红色(2352)		을			
72	58	4	3	1	타동사	带	dài	はめる	차다	他(23,48)	이							手表(984)		을			
73	58	5	3	2	타동사	带	dài	付ける・下げる	달다	他(23,48)	이							勋章(927)		을			
74	58	6	1	1	자동사	带	dài	ある	있다				话(1073)	里		着		刺儿(704)		이			
75	58	6	1	6	자동사	带	dài	ある	있다	桔子(854)	이					着		酸味(2356)		이			
76	58	6	1	1	자동사	带	dài	ある	있다	茶杯(911)	이					着		盖儿(904)		이			
77	58	7				带	dài		붙어 있다				菜(847)	上边		了		土(712,737)		이			
78	58	8	1	0	타동사	带	dài		거느리다	师傅(189,192)|教授(237)	이							徒弟(193,282,140,238)|研究生(238)		을			
79	59	1	0	0	타동사	代	dài		대신하다	他(23,48)	이							主任(1924,269)		을			
80	59	1	0	0	타동사	代	dài		대신하다	他(23,48)	이							课(1499,1509,1388)		을			
81	60	1	1	0	타동사	代替	dàitì		대체하다				手势(1579,1563)|塑料(786)		으로			语言(1062)|木材(771,772)		을			
82	60	1	1	0	타동사	代替	dàitì		대체하다	机器(962,893)|光明(2346)	이							人力(2336)|黑暗(2340)		을			
83	61	1	0	1	타동사	担心	dānxīn		걱정하다	他(23,48)	이							老师+的+安全		을			
84	61	1	0	1	타동사	担心	dānxīn		걱정하다	他(23,48)	이							DJ		을까봐			
85	62	1	0	7	타동사	当	dàng		생각하다	他(23,48)	이	把	我(8)					兄弟(97,93)		으로			
86	62	1	0	7	타동사	当	dàng		생각하다	他(23,48)	이	把	底稿(1032,1396,1557,1113,1119,920)|书包(908)					废纸(770,799)|提包(908)		으로			了
87	62	2				当	dàng		저당잡히다	他(23,48)	이							手表(984)|房子(865,447)|衣服(818)		을			
88	62	3	1	0	타동사	当	dāng		담당하다	他(23,48)	이							主席(323,167,260,269,336)|代表(119,342)		을			
89	63	1	0	0	타동사	当做	dàngzuò		생각하다	他(23,48)	이	把	我(8)					兄弟(97,93)		으로			
90	63	1	0	0	타동사	当做	dàngzuò		생각하다	他(23,48)	이	把	学校(367,405,865)|好心(1238,1309)					家(447,865)|恶意(1238,1310)		으로			
91	63	2			타동사	当做	dàngzuò		여기다	房间(863,865)	을							仓库(457,865)		으로			
92	64	1	1	0	자동사	到	dào		도착하다				北京(장소2616)|图书馆(367,408)		에								了
93	64	1	1	0	자동사	到	dào		도착하다	他(23,48)	이												了
94	64	1	1	0	자동사	到	dào		도착하다	火车(988)	이							站(414)		에			了
95	64	2	2	8	자동사	到	dào	訪れる・来る	오다	春天(2673,2672,2695)	이												了
96	64	3	0	1	자동사	到	dào	引越しをする,出る,行く	가다	我(8)	이					过		汉城(장소2616)|博物馆(367,407)		에			
97	64	4	1	5	자동사	到	dào		되다							(了)		一+点		이			
98	65	1	1	2	타동사	得	dé		얻다	他(23,48)	이					了		好评(1149,1150,1445,1521)		을			
99	65	2	1	1	타동사	得	dé		받다	他(23,48)	이							头奖(1857)		을			
100	65	3	1	7	자동사	得	dé		걸리다	他(23,48)	이					了		结核病(2419)		을			
101	65	4	3	0	지정사	得	dé		이다	二+三	이							五					
102	65	5	0	0	형용사	得	děi		필요하다	工程(1979)	이							三+天|三+人		이			
103	66	1	0	0	타동사	等	děng	待つ	기다리다	我(8)	이	在	路口(2619,418,2627)			过		车(988)		을			
104	66	1	0	0	타동사	等	děng	待つ	기다리다	他(23,48)	이							DJ		을			
105	66	1	0	0	타동사	等	děng	待つ	기다리다	他(23,48)	이					(着)		你(J15)|车(988)		을			
106	66	1	0	0	타동사	等	děng	待つ	기다리다	他(23,48)	이					了		你(J15)		을	三+天	동안	
107	66	1	0	0	타동사	等	děng	待つ	기다리다	他(23,48)	이					着		看+电影		으려고			
108	67	1	3	0	지정사	等于	děngyú		이다	二+三	이							五					
109	67	2	0	0	자동사	等于	děngyú		맞먹다	产量(2591)	이							五+倍		에			
110	67	3				等于	děngyú		마찬가지다	知识(1008,1147)	이							零(2586)		이나			
111	68	1	2	2	타동사	点	diǎn	打つ	찍다	他(23,48)	이							小数点(1101)|颜色(2352)|点儿(2566)|红点(점2566)		을			
112	68	2	1	1	자동사	点	diǎn		스치다	蜻蜓(549)	이							水(748)		을			
113	68	3	1	1	타동사	点	diǎn		누르다	他(23,48)	이							穴位(2616)		을			
114	68	4	0	1	타동사	点	diǎn		가리키다	他(23,48)	이							鼻子(564)		을			
115	68	5	0	0	타동사	点	diǎn		끄덕이다	他(23,48)	이							头(554)		을			
